user_id,group,age,city,device,reg_date
user_00135,B,50.0,Другой,iOS,2025-08-11
user_00136,A,27.0,Другой,Android,2025-08-01
user_00137,B,31.0,Екатеринбург,Android,2022-12-01
user_00138,A,43.0,Санкт-Петербург,iOS,2025-09-10
user_00139,B,22.0,Екатеринбург,iOS,2023-08-29
user_00140,A,37.0,Новосибирск,Android,2025-05-06
user_00141,B,48.0,Новосибирск,iOS,2023-10-23
user_00142,A,18.0,Москва,iOS,2024-03-03
user_00143,B,36.0,Санкт-Петербург,Android,2023-04-24
user_00144,A,,Санкт-Петербург,Android,2025-10-06
user_00145,B,42.0,Москва,iOS,2024-06-15
user_00146,A,22.0,Санкт-Петербург,iOS,2024-01-25
user_00147,B,21.0,Санкт-Петербург,Android,2023-09-21
user_00148,A,40.0,Москва,Android,2023-12-05
user_00149,B,37.0,Другой,iOS,2023-10-06
user_00150,A,37.0,Санкт-Петербург,iOS,2024-11-28
user_00151,B,38.0,Санкт-Петербург,Android,2023-07-18
user_00152,A,28.0,Екатеринбург,Android,2024-03-03
user_00153,B,37.0,Новосибирск,iOS,2025-03-16
user_00154,A,37.0,Санкт-Петербург,iOS,2024-09-24
user_00155,B,27.0,Москва,Android,2023-07-08
user_00156,A,53.0,Другой,Android,2025-07-31
user_00157,B,39.0,Новосибирск,iOS,2025-07-25
user_00158,A,23.0,Санкт-Петербург,iOS,2025-07-26
user_00159,B,41.0,Екатеринбург,Android,2024-01-23
user_00160,A,25.0,Санкт-Петербург,iOS,2023-10-14
user_00161,B,42.0,Другой,iOS,2025-03-08
user_00162,A,46.0,Санкт-Петербург,Android,2023-01-02
user_00163,B,26.0,Санкт-Петербург,Android,2024-03-31
user_00164,A,44.0,Другой,iOS,2023-02-14
user_00165,B,39.0,Москва,iOS,2023-08-06
user_00166,A,43.0,Санкт-Петербург,Android,2023-10-13
user_00167,B,53.0,Москва,Android,2023-08-20
user_00168,A,32.0,Москва,iOS,2025-10-02
user_00169,B,27.0,,iOS,2023-02-06
user_00170,A,26.0,Екатеринбург,Android,2023-09-14
user_00171,B,26.0,Другой,Android,2023-03-12
user_00172,A,34.0,,iOS,2023-10-24
user_00173,B,,,iOS,2024-04-29
user_00174,A,37.0,Екатеринбург,Android,2023-11-21
user_00175,B,43.0,Новосибирск,Android,2025-10-11
user_00176,A,35.0,Другой,iOS,2025-02-25
user_00177,B,49.0,Екатеринбург,iOS,2022-12-26
user_00178,A,32.0,Москва,Android,2024-06-20
user_00179,B,62.0,,iOS,2023-05-12
user_00180,A,41.0,Москва,iOS,2024-02-04
user_00181,B,26.0,Другой,Android,2025-05-25
user_00182,A,24.0,Москва,Android,2025-07-10
user_00183,B,39.0,Москва,iOS,2025-07-31
user_00184,A,32.0,Екатеринбург,iOS,2023-11-02
user_00185,B,42.0,Екатеринбург,Android,2024-02-10
user_00186,A,39.0,Москва,Android,2025-03-08
user_00187,B,34.0,Москва,iOS,2023-09-06
user_00188,A,26.0,Москва,iOS,2023-11-25
user_00189,B,19.0,Другой,Android,2025-09-29
user_00190,A,30.0,Новосибирск,Android,2024-05-12
user_00191,B,43.0,Екатеринбург,iOS,2023-10-27
user_00192,A,37.0,Санкт-Петербург,,2024-10-19
user_00193,B,22.0,Новосибирск,Android,2025-06-03
user_00194,A,36.0,Москва,Android,2023-04-07
user_00195,B,38.0,Новосибирск,iOS,2024-03-02
user_00196,A,26.0,,iOS,2024-12-31
user_00197,B,36.0,Екатеринбург,Android,2025-01-15
user_00198,A,35.0,Санкт-Петербург,iOS,2023-08-15
user_00199,B,23.0,Санкт-Петербург,iOS,2023-06-28
user_00200,A,38.0,Москва,Android,2022-12-21
user_00201,B,40.0,Москва,Android,2024-01-06
user_00202,A,45.0,Москва,iOS,2025-10-23
user_00203,B,45.0,Москва,iOS,2025-09-15
user_00204,A,102.0,Другой,Android,2025-03-26
user_00205,B,25.0,Новосибирск,Android,2023-09-20
user_00206,A,40.0,Новосибирск,iOS,2023-06-03
user_00207,B,40.0,Другой,iOS,2023-11-16
user_00208,A,40.0,Санкт-Петербург,Android,2025-07-19
user_00209,B,73.0,Москва,Android,2023-02-05
user_00210,A,40.0,Екатеринбург,iOS,2025-11-10
user_00211,B,46.0,Другой,iOS,2025-09-13
user_00212,A,44.0,Новосибирск,Android,2023-07-16
user_00213,B,41.0,Новосибирск,Android,2023-05-27
user_00214,A,31.0,Москва,iOS,2025-08-01
user_00215,B,42.0,Новосибирск,iOS,2023-08-11
user_00216,A,27.0,Санкт-Петербург,Android,2022-11-20
user_00217,B,118.0,Москва,iOS,2025-04-19
user_00218,A,30.0,Новосибирск,iOS,2025-10-22
user_00219,B,35.0,Другой,Android,2025-03-28
user_00220,A,58.0,Москва,Android,2024-12-15
user_00221,B,18.0,Москва,iOS,2023-02-14
user_00222,A,41.0,Екатеринбург,iOS,2025-11-07
user_00223,B,18.0,Другой,Android,2025-04-14
user_00224,A,30.0,Москва,Android,2024-03-01
user_00225,B,45.0,Санкт-Петербург,iOS,2025-08-01
user_00226,A,35.0,Другой,iOS,2025-01-06
user_00227,B,24.0,Москва,Android,2024-11-04
user_00228,A,27.0,Москва,Android,2023-06-06
user_00229,B,41.0,Другой,iOS,2025-04-07
user_00230,A,27.0,Екатеринбург,iOS,2023-08-19
user_00231,B,37.0,Москва,Android,2024-04-22
user_00232,A,35.0,Москва,Android,2025-07-22
user_00233,B,28.0,Санкт-Петербург,iOS,2024-03-08
user_00234,A,56.0,Санкт-Петербург,iOS,2023-05-08
user_00235,B,41.0,Другой,Android,2024-06-20
user_00236,A,18.0,Москва,iOS,2025-03-03
user_00237,B,36.0,Новосибирск,iOS,2024-04-28
user_00238,A,28.0,Санкт-Петербург,Android,2023-12-10
user_00239,B,43.0,Москва,Android,2022-11-29
user_00240,A,27.0,Санкт-Петербург,iOS,2022-12-02
user_00241,B,33.0,Санкт-Петербург,iOS,2025-10-23
user_00242,A,40.0,Екатеринбург,Android,2023-07-17
user_00243,B,43.0,Новосибирск,Android,2025-10-17
user_00244,A,16.0,Москва,iOS,2022-12-02
user_00245,B,31.0,Санкт-Петербург,iOS,2024-12-25
user_00246,A,30.0,Москва,Android,2024-01-12
user_00247,B,28.0,Новосибирск,Android,2024-08-25
user_00248,A,52.0,Новосибирск,iOS,2025-03-04
user_00249,B,39.0,Новосибирск,iOS,2024-11-28
user_00250,A,22.0,Москва,Android,2023-06-24
user_00251,B,44.0,Москва,Android,2023-09-30
user_00252,A,56.0,Новосибирск,iOS,2025-04-08
user_00253,B,45.0,Санкт-Петербург,iOS,2024-04-20
user_00254,A,19.0,Екатеринбург,Android,2024-05-06
user_00255,B,30.0,Новосибирск,iOS,2025-04-03
user_00256,A,47.0,Санкт-Петербург,iOS,2024-12-05
user_00257,B,27.0,Санкт-Петербург,Android,2024-06-04
user_00258,A,,Москва,Android,2025-02-08
user_00259,B,42.0,Москва,iOS,2024-01-09
user_00260,A,107.0,Москва,iOS,2025-03-13
user_00261,B,34.0,Новосибирск,Android,2025-08-02
user_00262,A,18.0,Санкт-Петербург,Android,2023-11-19
user_00263,B,24.0,Другой,iOS,2024-12-15
user_00264,A,32.0,Москва,iOS,2025-08-04
user_00265,B,22.0,Новосибирск,Android,2024-04-20
user_00266,A,51.0,Екатеринбург,Android,2024-08-07
user_00267,B,20.0,Новосибирск,iOS,2024-10-23
user_00268,A,30.0,Другой,iOS,2025-02-10
user_00269,B,36.0,Новосибирск,Android,2023-08-27
user_00270,A,49.0,Москва,Android,2023-07-19
user_00271,B,20.0,Екатеринбург,iOS,2024-03-02
user_00272,A,46.0,Екатеринбург,iOS,2025-05-20
user_00273,B,35.0,Санкт-Петербург,Android,2023-10-15
user_00274,A,25.0,Санкт-Петербург,iOS,2023-06-11
user_00275,B,39.0,Другой,iOS,2024-01-31
user_00276,A,36.0,Москва,Android,2025-09-24
user_00277,B,28.0,Москва,Android,2025-02-15
user_00278,A,35.0,Другой,iOS,2024-10-11
user_00279,B,31.0,Москва,iOS,2023-03-04
user_00280,A,36.0,Новосибирск,Android,2023-10-13
user_00281,B,41.0,Екатеринбург,Android,2025-01-22
user_00282,A,50.0,Новосибирск,iOS,2022-11-28
user_00283,B,22.0,Санкт-Петербург,iOS,2023-05-23
user_00284,A,56.0,Москва,Android,2023-09-11
user_00285,B,18.0,Другой,Android,2025-07-10
user_00286,A,33.0,Санкт-Петербург,iOS,2025-04-27
user_00287,B,40.0,Санкт-Петербург,iOS,2023-05-17
user_00288,A,37.0,Москва,Android,2023-03-29
user_00289,B,28.0,Екатеринбург,Android,2024-05-09
user_00290,A,,Москва,iOS,2024-02-15
user_00291,B,30.0,Екатеринбург,iOS,2024-12-16
user_00292,A,29.0,Другой,Android,2023-04-30
user_00293,B,43.0,Другой,iOS,2023-02-03
user_00294,A,38.0,Санкт-Петербург,iOS,2025-01-13
user_00295,B,28.0,Санкт-Петербург,Android,2025-02-15
user_00296,A,43.0,Екатеринбург,Android,2025-10-20
user_00297,B,38.0,Москва,iOS,2024-06-26
user_00298,A,43.0,Санкт-Петербург,iOS,2023-03-15
user_00299,B,41.0,Екатеринбург,Android,2023-11-11
user_00300,A,26.0,Москва,Android,2025-08-26
user_00301,B,29.0,Екатеринбург,iOS,2025-05-05
user_00302,A,42.0,Москва,iOS,2022-12-09
user_00303,B,41.0,Другой,Android,2024-01-05
user_00304,A,34.0,Новосибирск,Android,2025-10-14
user_00305,B,36.0,Новосибирск,iOS,2024-06-25
user_00306,A,47.0,Новосибирск,iOS,2023-12-21
user_00307,B,29.0,Екатеринбург,Android,2023-01-25
user_00308,A,40.0,Москва,Android,2025-09-28
user_00309,B,32.0,Новосибирск,iOS,2025-10-09
user_00310,A,32.0,Москва,iOS,2024-03-06
user_00311,B,45.0,Москва,Android,2023-10-31
user_00312,A,43.0,Москва,iOS,2023-01-30
user_00313,B,43.0,Москва,iOS,2024-11-23
user_00314,A,,Москва,Android,2024-03-21
user_00315,B,35.0,Москва,Android,2022-11-18
user_00316,A,41.0,Санкт-Петербург,iOS,2023-10-06
user_00317,B,31.0,Екатеринбург,iOS,2023-05-14
user_00318,A,38.0,Санкт-Петербург,Android,2024-06-05
user_00319,B,33.0,Москва,Android,2025-02-13
user_00320,A,35.0,,iOS,2024-11-10
user_00321,B,40.0,Санкт-Петербург,iOS,2025-02-04
user_00322,A,26.0,Санкт-Петербург,Android,2025-02-25
user_00323,B,55.0,Новосибирск,Android,2024-01-02
user_00324,A,24.0,Санкт-Петербург,iOS,2025-10-13
user_00325,B,22.0,Другой,iOS,2022-12-19
user_00326,A,46.0,Новосибирск,Android,2023-04-07
user_00327,B,42.0,Санкт-Петербург,Android,2023-05-21
user_00328,A,41.0,Новосибирск,iOS,2024-06-22
user_00329,B,,Москва,iOS,2024-10-30
user_00330,A,34.0,Москва,Android,2024-10-29
user_00331,B,26.0,Екатеринбург,iOS,2024-06-06
user_00332,A,35.0,Другой,iOS,2024-02-24
user_00333,B,28.0,Другой,Android,2023-12-21
user_00334,A,44.0,,Android,2025-06-06
user_00335,B,33.0,Новосибирск,iOS,2025-02-22
user_00336,A,26.0,,iOS,2022-11-27
user_00337,B,31.0,Екатеринбург,Android,2024-05-05
user_00338,A,39.0,Санкт-Петербург,Android,2023-11-11
user_00339,B,29.0,Москва,iOS,2025-02-28
user_00340,A,26.0,Другой,iOS,2025-09-19
user_00341,B,37.0,Санкт-Петербург,Android,2023-06-24
user_00342,A,37.0,Другой,Android,2023-04-15
user_00343,B,29.0,Москва,iOS,2025-09-13
user_00344,A,30.0,Москва,iOS,2024-07-12
user_00345,B,37.0,Екатеринбург,Android,2024-10-14
user_00346,A,20.0,Новосибирск,Android,2023-07-15
user_00347,B,20.0,Екатеринбург,iOS,2025-10-04
user_00348,A,27.0,Москва,iOS,2024-04-28
user_00349,B,32.0,Новосибирск,Android,2024-04-13
user_00350,A,38.0,Новосибирск,iOS,2025-05-12
user_00351,B,49.0,Екатеринбург,iOS,2024-12-29
user_00352,A,43.0,Санкт-Петербург,Android,2025-08-04
user_00353,B,33.0,Москва,Android,2024-03-30
user_00354,A,34.0,Москва,iOS,2024-10-13
user_00355,B,109.0,Другой,iOS,2025-06-14
user_00356,A,34.0,Москва,Android,2025-06-18
user_00357,B,32.0,Санкт-Петербург,Android,2023-01-13
user_00358,A,38.0,,iOS,2025-08-01
user_00359,B,26.0,Москва,iOS,2023-07-14
user_00360,A,40.0,Другой,Android,2024-04-29
user_00361,B,50.0,Новосибирск,Android,2023-04-05
user_00362,A,33.0,Санкт-Петербург,iOS,2025-01-09
user_00363,B,39.0,Новосибирск,iOS,2024-02-12
user_00364,A,41.0,,Android,2024-03-02
user_00365,B,30.0,Москва,Android,2024-08-25
user_00366,A,37.0,Новосибирск,iOS,2025-03-11
user_00367,B,35.0,Новосибирск,iOS,2024-11-10
user_00368,A,35.0,Москва,Android,2025-10-10
user_00369,B,27.0,Новосибирск,Android,2022-12-07
user_00370,A,35.0,Санкт-Петербург,iOS,2024-05-10
user_00371,B,39.0,Москва,iOS,2024-04-09
user_00372,A,49.0,,Android,2024-06-28
user_00373,B,44.0,,Android,2023-05-27
user_00374,A,56.0,Новосибирск,iOS,2025-02-12
user_00375,B,27.0,Москва,iOS,2024-10-18
user_00376,A,43.0,Москва,Android,2023-04-22
user_00377,B,36.0,Другой,Android,2023-11-18
user_00378,A,56.0,Новосибирск,iOS,2025-07-20
user_00379,B,26.0,Новосибирск,iOS,2024-08-21
user_00380,A,26.0,Москва,Android,2024-11-11
user_00381,B,29.0,Москва,Android,2024-02-08
user_00382,A,18.0,Другой,iOS,2024-05-22
user_00383,B,29.0,Новосибирск,iOS,2023-11-27
user_00384,A,27.0,Новосибирск,Android,2023-12-12
user_00385,B,36.0,Санкт-Петербург,Android,2025-09-04
user_00386,A,38.0,Москва,iOS,2023-12-31
user_00387,B,53.0,Новосибирск,iOS,2024-03-12
user_00388,A,44.0,Екатеринбург,Android,2024-03-27
user_00389,B,,Другой,Android,2024-05-14
user_00390,A,26.0,Москва,iOS,2024-01-15
user_00391,B,39.0,Москва,iOS,2024-03-01
user_00392,A,21.0,Санкт-Петербург,Android,2024-01-07
user_00393,B,53.0,Другой,Android,2024-04-12
user_00394,A,46.0,Москва,iOS,2024-11-16
user_00395,B,30.0,Екатеринбург,iOS,2023-10-03
user_00396,A,18.0,Другой,Android,2023-06-24
user_00397,B,48.0,Новосибирск,Android,2023-07-21
user_00398,A,33.0,Новосибирск,iOS,2023-04-27
user_00399,B,47.0,Новосибирск,iOS,2025-08-22
user_00400,A,19.0,Москва,Android,2022-12-01
user_00401,B,29.0,Санкт-Петербург,Android,2023-02-12
user_00402,A,35.0,Новосибирск,iOS,2025-08-01
user_00403,B,35.0,Екатеринбург,iOS,2024-12-17
user_00404,A,30.0,Санкт-Петербург,Android,2024-08-24
user_00405,B,41.0,Санкт-Петербург,Android,2025-08-22
user_00406,A,24.0,Другой,iOS,2024-06-02
user_00407,B,33.0,Другой,iOS,2025-08-19
user_00408,A,36.0,Москва,Android,2023-11-27
user_00409,B,40.0,Москва,Android,2025-09-29
user_00410,A,42.0,Екатеринбург,iOS,2024-06-13
user_00411,B,23.0,Москва,iOS,2025-02-09
user_00412,A,19.0,Санкт-Петербург,Android,2024-02-15
user_00413,B,47.0,Санкт-Петербург,Android,2023-08-07
user_00414,A,38.0,Новосибирск,iOS,2023-03-08
user_00415,B,27.0,Другой,iOS,2025-10-29
user_00416,A,50.0,Новосибирск,Android,2025-04-02
user_00417,B,,Санкт-Петербург,Android,2025-07-24
user_00418,A,46.0,Другой,iOS,2023-01-23
user_00419,B,35.0,Екатеринбург,iOS,2025-09-12
user_00420,A,55.0,Екатеринбург,Android,2024-10-29
user_00421,B,52.0,Москва,Android,2025-02-01
user_00422,A,32.0,,iOS,2023-11-10
user_00423,B,,Новосибирск,iOS,2025-06-11
user_00424,A,41.0,Санкт-Петербург,Android,2023-07-22
user_00425,B,48.0,Москва,Android,2025-10-14
user_00426,A,,Екатеринбург,iOS,2025-06-17
user_00427,B,41.0,,iOS,2024-08-25
user_00428,A,45.0,Другой,Android,2022-12-05
user_00429,B,18.0,Москва,Android,2022-12-12
user_00430,A,23.0,Другой,iOS,2024-01-23
user_00431,B,18.0,Санкт-Петербург,iOS,2025-01-03
user_00432,A,32.0,Новосибирск,Android,2023-06-12
user_00433,B,42.0,Екатеринбург,Android,2024-09-14
user_00434,A,50.0,Новосибирск,iOS,2024-11-27
user_00435,B,35.0,Москва,iOS,2024-05-02
user_00436,A,51.0,Москва,Android,2023-12-06
user_00437,B,21.0,Новосибирск,Android,2024-05-09
user_00438,A,18.0,Москва,iOS,2024-03-17
user_00439,B,34.0,Новосибирск,iOS,2024-05-22
user_00440,A,38.0,Москва,Android,2025-07-10
user_00441,B,34.0,Новосибирск,Android,2024-10-20
user_00442,A,18.0,Новосибирск,iOS,2024-12-06
user_00443,B,34.0,Новосибирск,iOS,2023-11-29
user_00444,A,21.0,Санкт-Петербург,Android,2025-09-04
user_00445,B,41.0,Москва,Android,2025-04-04
user_00446,A,38.0,Санкт-Петербург,iOS,2024-01-23
user_00447,B,25.0,Санкт-Петербург,iOS,2025-03-25
user_00448,A,29.0,Новосибирск,Android,2024-12-19
user_00449,B,24.0,Екатеринбург,Android,2024-12-04
user_00450,A,34.0,Москва,iOS,2025-02-15
user_00451,B,44.0,Другой,iOS,2024-06-12
user_00452,A,25.0,Другой,Android,2025-05-29
user_00453,B,40.0,Санкт-Петербург,Android,2023-11-21
user_00454,A,29.0,Москва,iOS,2023-08-13
user_00455,B,27.0,Екатеринбург,iOS,2024-02-29
user_00456,A,33.0,Новосибирск,Android,2023-06-10
user_00457,B,24.0,,Android,2024-05-23
user_00458,A,29.0,Санкт-Петербург,iOS,2024-03-14
user_00459,B,23.0,Новосибирск,iOS,2025-04-21
user_00460,A,54.0,Санкт-Петербург,Android,2025-01-06
user_00461,B,35.0,Москва,Android,2023-12-24
user_00462,A,28.0,Санкт-Петербург,iOS,2023-09-12
user_00463,B,37.0,Новосибирск,iOS,2023-09-20
user_00464,A,33.0,Москва,Android,2025-07-13
user_00465,B,32.0,Москва,Android,2022-12-07
user_00466,A,41.0,Москва,iOS,2023-11-14
user_00467,B,42.0,Екатеринбург,iOS,2025-03-30
user_00468,A,29.0,Москва,Android,2025-09-06
user_00469,B,29.0,,Android,2023-08-20
user_00470,A,32.0,Санкт-Петербург,iOS,2025-10-11
user_00471,B,,Екатеринбург,iOS,2025-11-15
user_00472,A,19.0,Екатеринбург,Android,2024-08-25
user_00473,B,48.0,Москва,Android,2025-08-10
user_00474,A,51.0,Санкт-Петербург,iOS,2024-07-24
user_00475,B,32.0,Москва,iOS,2024-04-14
user_00476,A,40.0,Екатеринбург,Android,2023-02-23
user_00477,B,38.0,Москва,Android,2025-02-10
user_00478,A,65.0,Екатеринбург,iOS,2023-06-08
user_00479,B,46.0,Санкт-Петербург,iOS,2023-10-18
user_00480,A,33.0,Москва,Android,2023-03-20
user_00481,B,25.0,Москва,Android,2024-02-02
user_00482,A,18.0,Москва,iOS,2024-04-21
user_00483,B,37.0,Санкт-Петербург,iOS,2025-07-20
user_00484,A,27.0,Санкт-Петербург,Android,2023-06-03
user_00485,B,20.0,Санкт-Петербург,Android,2025-05-27
user_00486,A,28.0,Новосибирск,iOS,2024-10-03
user_00487,B,24.0,Новосибирск,iOS,2024-05-03
user_00488,A,51.0,Москва,Android,2024-11-26
user_00489,B,43.0,Новосибирск,Android,2024-11-24
user_00490,A,34.0,Москва,iOS,2024-04-28
user_00491,B,49.0,Москва,iOS,2024-10-22
user_00492,A,35.0,Москва,Android,2022-12-28
user_00493,B,26.0,Другой,Android,2025-03-10
user_00494,A,50.0,Санкт-Петербург,iOS,2023-07-24
user_00495,B,40.0,Москва,iOS,2024-11-06
user_00496,A,24.0,Екатеринбург,Android,2023-12-30
user_00497,B,33.0,Москва,Android,2023-11-10
user_00498,A,26.0,,iOS,2024-06-22
user_00499,B,21.0,Другой,iOS,2024-11-14
user_00500,A,44.0,Новосибирск,Android,2024-09-13
user_00501,B,54.0,Москва,,2025-09-28
user_00502,A,,Новосибирск,iOS,2025-08-12
user_00503,B,40.0,Новосибирск,iOS,2025-05-21
user_00504,A,28.0,Новосибирск,Android,2023-04-27
user_00505,B,30.0,Новосибирск,Android,2025-01-06
user_00506,A,29.0,Москва,iOS,2024-06-26
